Datum,Gemeentenaam,Provincienaam,Aantal,Provincie_aantal,Aantal_yes,Provincie_aantal_yes,Datum_yes2,Aantal_y,Provincie_aantal_yes2,Aantal_yes3,Provincie_aantal_yes3,outbreak_days,high_temp_degree,low_temp_degree,hist_Gemiddeld_degree_low,hist_Gemiddeld_degree_high,Gemeenten2016_Bevolking,Gemeenten2016_Beweegrichtlijnen,Gemeenten2016_Eenzaam,Gemeenten2016_Ernstig_zeerernstigeenzaam,Gemeenten2016_Ernstigehinderspoorwegen,Gemeenten2016_Ernstigehindervliegtuigen,Gemeenten2016_Ernstigehinderwegenless_than_50km_u,Gemeenten2016_Ernstigehinderwegenmore_than_50km_u,Gemeenten2016_Gehoorbeperking,Gemeenten2016_Gezichtsbeperking,Gemeenten2016_Goed_zeergoedervarengezondheid,Gemeenten2016_Hoogrisicoopangstofdepressie,Gemeenten2016_Langdurigeziekteofaandoening,Gemeenten2016_Mantelzorger,Gemeenten2016_Mantelzorgontvangenafg12mnd_65above,Gemeenten2016_Matig_hoogrisicoopangstofdepressie,Gemeenten2016_Matig_veelregieovereigenleven,Gemeenten2016_Minstenseenbeperking,Gemeenten2016_Mobiliteitsbeperking,Gemeenten2016_Obesitas,Gemeenten2016_Overgewicht,Gemeenten2016_Roker,Gemeenten2016_Sporter,Gemeenten2016_Voldoetaanalcoholrichtlijn,Gemeenten2016_Vrijwilligerswerk,record_count,doc_record_count
2020-03-05,eindhoven,noord-brabant,3,131760,1.0,131760.0,2020-03-03 00:00:00,1.0,131760.0,0.0,0.0,7,7,4,2,9,224755,51,50,14,2,4,8,6,5,7,72,9,32,13,18,52,87,17,11,13,45,24,54,37,24,760,2169
2020-03-05,helmond,noord-brabant,4,131760,4.0,131760.0,2020-03-03 00:00:00,1.0,131760.0,0.0,0.0,7,7,4,2,8,90127,49,47,12,6,3,8,6,5,7,71,9,35,15,16,49,87,18,12,16,52,23,49,39,24,273,532
2020-03-05,loon op zand,noord-brabant,5,131760,5.0,131760.0,2020-03-03 00:00:00,4.0,131760.0,0.0,0.0,7,7,5,2,8,22929,48,42,10,1,3,5,3,6,6,74,6,32,16,17,45,90,17,11,16,54,19,50,38,28,54,49
2020-03-05,oss,noord-brabant,1,131760,1.0,131760.0,2020-03-03 00:00:00,1.0,131760.0,0.0,0.0,7,7,4,2,8,90003,49,43,10,2,2,7,3,6,7,73,7,35,16,17,46,89,18,12,17,54,22,49,39,29,241,324
2020-03-05,sint-michielsgestel,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,9,28403,52,38,8,1,2,4,1,5,6,77,4,30,17,16,39,91,15,9,12,48,17,55,34,33,97,91
2020-03-05,tilburg,noord-brabant,3,131760,3.0,131760.0,2020-03-03 00:00:00,2.0,131760.0,4.0,131760.0,7,7,5,2,8,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
2020-03-05,gemert-bakel,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,29647,52,40,9,0,3,6,4,5,6,75,6,32,17,16,43,89,17,10,12,50,18,53,35,34,100,106
2020-03-05,sittard-geleen,limburg,2,61053,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,5,2,8,93555,44,49,13,2,4,6,3,7,7,68,9,40,16,17,47,86,20,15,17,54,22,45,44,23,317,582
2020-03-05,stichtse vecht,utrecht,2,43217,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,64061,50,40,8,2,3,4,5,4,5,76,5,33,15,15,42,91,13,9,14,48,20,54,40,30,166,228
2020-03-05,pijnacker-nootdorp,zuid-holland,2,109279,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,5,2,8,51894,56,41,8,1,2,2,3,3,4,80,5,32,14,12,41,92,11,7,12,48,17,56,43,33,125,133
2020-03-05,gooise meren,noord-holland,1,83056,1.0,83056.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,56696,53,38,8,3,4,8,4,4,5,77,5,33,14,14,39,91,14,9,10,42,17,56,35,31,242,383
2020-03-05,altena,noord-brabant,4,131760,3.0,131760.0,2020-03-03 00:00:00,3.0,131760.0,1.0,131760.0,7,7,5,2,8,54083,133,120,24,0,15,16,8,16,15,230,15,90,51,50,130,268,44,28,45,158,55,127,138,112,157,143
2020-03-05,hoeksche waard,zuid-holland,1,109279,1.0,109279.0,0,0.0,0.0,0.0,0.0,7,7,5,2,8,84968,215,195,37,3,7,27,17,21,21,392,24,162,80,73,194,450,66,45,81,274,91,222,225,158,211,234
2020-03-06,almere,flevoland,1,9230,0.0,0.0,0,0.0,0.0,0.0,0.0,8,8,4,2,8,198145,46,49,13,4,2,3,3,5,5,72,8,35,13,15,45,89,16,10,16,53,21,45,46,21,535,956
2020-03-06,zeewolde,flevoland,1,9230,1.0,9230.0,0,0.0,0.0,0.0,0.0,8,8,4,2,8,22113,48,42,9,0,1,2,1,4,3,78,6,32,14,12,41,91,11,7,12,47,21,51,42,33,73,72
