col_name;Key;Title;Description
"WijkenEnBuurten";"BU03610902";"Stompetoren";
"WijkenEnBuurten";"BU03610903";"Schermerhorn";
"WijkenEnBuurten";"BU03610904";"Zuidschermer";
"WijkenEnBuurten";"BU03610905";"Driehuizen";
"WijkenEnBuurten";"BU03610906";"Grootschermer";
"WijkenEnBuurten";"WK036110  ";"Graft-De Rijp";
"WijkenEnBuurten";"BU03611000";"Noordeinde";
"WijkenEnBuurten";"BU03611001";"West-Graftdijk";
"WijkenEnBuurten";"BU03611002";"Graft";
"WijkenEnBuurten";"BU03611003";"De Rijp";
"WijkenEnBuurten";"BU03611004";"Oost-Graftdijk";
"WijkenEnBuurten";"BU03611005";"Starnmeer";
"WijkenEnBuurten";"BU03611006";"Markenbinnen";
"WijkenEnBuurten";"GM0141    ";"Almelo";
"WijkenEnBuurten";"WK014110  ";"Wijk 10 Binnenstad";
"WijkenEnBuurten";"BU01411000";"Binnenstad-Noord";
"WijkenEnBuurten";"BU01411001";"Binnenstad-Zuid";
"WijkenEnBuurten";"BU01411002";"Ulk en omgeving";
"WijkenEnBuurten";"BU01411003";"Java en omgeving";
"WijkenEnBuurten";"WK014111  ";"Wijk 11 De Riet";
"WijkenEnBuurten";"BU01411100";"Bornsestraat en omgeving Midden";
"WijkenEnBuurten";"BU01411101";"Riet Noord";
"WijkenEnBuurten";"BU01411102";"Arendsboer en omgeving Noord";
"WijkenEnBuurten";"BU01411103";"Nieuwland";
"WijkenEnBuurten";"BU01411104";"Arendsboer en omgeving Zuid";
"WijkenEnBuurten";"BU01411105";"Riet Zuid";
"WijkenEnBuurten";"BU01411106";"Bornsestraat en omgeving Zuid";
"WijkenEnBuurten";"BU01411109";"Verspreide huizen wijk 11";
"WijkenEnBuurten";"WK014112  ";"Wijk 12 Noorderkwartier";
"WijkenEnBuurten";"BU01411200";"Vriezenveenseweg e.o. Haghoek Oost";"Vriezenveenseweg en omgeving Haghoek Oost"
"WijkenEnBuurten";"BU01411201";"Parkweg en omgeving";
"WijkenEnBuurten";"BU01411202";"Vriezenveenseweg e.o. Haghoek West";"Vriezenveenseweg en omgeving Haghoek West"
"WijkenEnBuurten";"BU01411209";"Verspreide huizen wijk 12";
"WijkenEnBuurten";"WK014113  ";"Wijk 13 Sluitersveld";
"WijkenEnBuurten";"BU01411300";"Ootmarsumsestraat en omgeving";
"WijkenEnBuurten";"BU01411301";"Markgraven";
"WijkenEnBuurten";"BU01411302";"Rumerslanden";
"WijkenEnBuurten";"BU01411303";"Wester-Sluitersveldlanden";
"WijkenEnBuurten";"BU01411309";"Verspreide huizen wijk 13";
"WijkenEnBuurten";"WK014114  ";"Wijk 14 Wierdense Hoek";
"WijkenEnBuurten";"BU01411400";"Dijkstraat en omgeving";
"WijkenEnBuurten";"BU01411401";"Rohof en omgeving";
"WijkenEnBuurten";"BU01411402";"Kerkelanden";
"WijkenEnBuurten";"BU01411403";"Aalderinkshoek Noordoost";
"WijkenEnBuurten";"BU01411404";"Aalderinkshoek Zuidoost";
"WijkenEnBuurten";"BU01411405";"Aalderinkshoek Noordwest";
"WijkenEnBuurten";"BU01411406";"Aalderinkshoek Zuidwest";
"WijkenEnBuurten";"BU01411409";"Verspreide huizen wijk 14";
"WijkenEnBuurten";"WK014115  ";"Wijk 15 Nieuwstraat-Kwartier";
"WijkenEnBuurten";"BU01411500";"Nieuwstraat en omgeving";
"WijkenEnBuurten";"BU01411501";"Wonde en omgeving";
"WijkenEnBuurten";"BU01411502";"Witvoet en omgeving";
"WijkenEnBuurten";"BU01411503";"Achterlanden en omgeving";
"WijkenEnBuurten";"WK014116  ";"Wijk 16 Ossenkoppelerhoek";
"WijkenEnBuurten";"BU01411600";"Boomplaats";
"WijkenEnBuurten";"BU01411601";"Ossenkoppelerhoek-Oost";
"WijkenEnBuurten";"BU01411602";"Beeklust";
"WijkenEnBuurten";"BU01411603";"Ossenkoppelerhoek-Midden-Noord";
"WijkenEnBuurten";"BU01411604";"Ossenkoppelerhoek-West";
"WijkenEnBuurten";"BU01411605";"Ossenkoppelerhoek-Midden-Zuid";
"WijkenEnBuurten";"WK014117  ";"Wijk 17 Hofkamp";
"WijkenEnBuurten";"BU01411700";"Hofkamp-West";
"WijkenEnBuurten";"BU01411701";"Hofkamp-Oost";
"WijkenEnBuurten";"BU01411702";"Paradijs";
"WijkenEnBuurten";"BU01411703";"Kollenveld-Bolkshoek";
"WijkenEnBuurten";"BU01411709";"Verspreide huizen Hofkamp";
"WijkenEnBuurten";"WK014118  ";"Wijk 18 Schelfhorst";
"WijkenEnBuurten";"BU01411800";"Schelfhorst-Zuidwest";
"WijkenEnBuurten";"BU01411801";"Drakensteyn en omgeving";
"WijkenEnBuurten";"BU01411802";"Schelfhorst-Noordwest";
"WijkenEnBuurten";"BU01411803";"Havezathe";
"WijkenEnBuurten";"BU01411804";"Schelfhorst-Noordoost";
"WijkenEnBuurten";"BU01411805";"Schelfhorst-Zuidoost";
"WijkenEnBuurten";"BU01411806";"Veenelanden";
"WijkenEnBuurten";"WK014119  ";"Wijk 19 Windmolenbroek";
"WijkenEnBuurten";"BU01411900";"Groeneveld";
"WijkenEnBuurten";"BU01411901";"Kanaalzijde";
"WijkenEnBuurten";"BU01411902";"Leemslagen-Noord";
"WijkenEnBuurten";"BU01411903";"Leemslagen-Zuid";
"WijkenEnBuurten";"BU01411904";"Zeven Bosjes";
"WijkenEnBuurten";"BU01411905";"Leemslagen-Oost";
"WijkenEnBuurten";"BU01411906";"Huttenveld";
"WijkenEnBuurten";"BU01411907";"Maardijk";
"WijkenEnBuurten";"BU01411908";"De Grens";
"WijkenEnBuurten";"BU01411909";"Nijrees";
"WijkenEnBuurten";"BU01411910";"Verspreide huizen wijk 19";
"WijkenEnBuurten";"WK014120  ";"Wijk 20 Aadorp";
"WijkenEnBuurten";"BU01412000";"Aadorp-West";
"WijkenEnBuurten";"BU01412001";"Aadorp-Oost";
"WijkenEnBuurten";"BU01412002";"Bedrijvenpark Twente";
"WijkenEnBuurten";"BU01412009";"Verspreide huizen wijk 20";
"WijkenEnBuurten";"WK014121  ";"Wijk 21 Bornerbroek";
"WijkenEnBuurten";"BU01412100";"Bornerbroek";
"WijkenEnBuurten";"BU01412109";"Verspreide huizen wijk 21";
"WijkenEnBuurten";"GM0034    ";"Almere";
"WijkenEnBuurten";"WK003401  ";"Wijk 01 Almere Haven";
"WijkenEnBuurten";"BU00340101";"Centrum Almere Haven";
"WijkenEnBuurten";"BU00340102";"De Werven";
"WijkenEnBuurten";"BU00340103";"De Hoven";
"WijkenEnBuurten";"BU00340104";"De Meenten";
"WijkenEnBuurten";"BU00340105";"De Grienden";
"WijkenEnBuurten";"BU00340106";"De Marken";
"WijkenEnBuurten";"BU00340107";"De Gouwen";
"WijkenEnBuurten";"BU00340108";"De Wierden";
"WijkenEnBuurten";"BU00340109";"De Velden";
"WijkenEnBuurten";"BU00340110";"Overgooi";
"WijkenEnBuurten";"BU00340171";"De Steiger";
"WijkenEnBuurten";"BU00340173";"Stichtsekant";
"WijkenEnBuurten";"BU00340199";"Overig Almere Haven";
"WijkenEnBuurten";"WK003402  ";"Wijk 02 Almere Stad";
"WijkenEnBuurten";"BU00340201";"Centrum Almere Stad";
"WijkenEnBuurten";"BU00340202";"Filmwijk";
"WijkenEnBuurten";"BU00340203";"Danswijk";
"WijkenEnBuurten";"BU00340204";"Parkwijk";
"WijkenEnBuurten";"BU00340205";"Verzetswijk";
"WijkenEnBuurten";"BU00340206";"Waterwijk";
"WijkenEnBuurten";"BU00340207";"Tussen de Vaarten Noord";
"WijkenEnBuurten";"BU00340208";"Tussen de Vaarten Zuid";
